,file,algorithm,slots,runtime
0,data_2-0.08-334.in,code1,1,2.000000e-06
1,data_2-0.08-334.in,code2,2,1.000000e-06
2,data_80-0.08-8105.in,code1,-1,1.000000e+02
3,data_80-0.08-8105.in,code2,-1,1.000000e+02
4,data_100-0.08-2783.in,code1,-1,1.000000e+02
5,data_100-0.08-2783.in,code2,-1,1.000000e+02
6,data_20-0.32-3401.in,code1,4,3.139000e-03
7,data_20-0.32-3401.in,code2,4,3.581000e-03
8,data_50-0.32-6726.in,code1,-1,1.000000e+02
9,data_50-0.32-6726.in,code2,-1,1.000000e+02
10,data_60-0.02-5840.in,code1,-1,1.000000e+02
11,data_60-0.02-5840.in,code2,-1,1.000000e+02
12,data_50-0.02-3749.in,code1,2,1.124800e-02
13,data_50-0.02-3749.in,code2,2,9.901000e-03
14,data_100-0.04-3749.in,code1,-1,1.000000e+02
15,data_100-0.04-3749.in,code2,-1,1.000000e+02
16,data_40-0.02-3749.in,code1,2,3.010000e-04
17,data_40-0.02-3749.in,code2,2,3.900000e-05
18,data_30-0.02-487.in,code1,2,2.180000e-04
19,data_30-0.02-487.in,code2,2,3.100000e-05
20,data_70-0.64-183.in,code1,-1,1.000000e+02
21,data_70-0.64-183.in,code2,-1,1.000000e+02
22,data_60-0.32-9544.in,code1,-1,1.000000e+02
23,data_60-0.32-9544.in,code2,-1,1.000000e+02
24,data_90-0.08-6930.in,code1,-1,1.000000e+02
25,data_90-0.08-6930.in,code2,-1,1.000000e+02
26,data_2-0.64-1278.in,code1,2,0.000000e+00
27,data_2-0.64-1278.in,code2,2,2.000000e-06
28,data_80-0.32-1278.in,code1,-1,1.000000e+02
29,data_80-0.32-1278.in,code2,-1,1.000000e+02
30,data_10-0.32-3705.in,code1,4,2.900000e-05
31,data_10-0.32-3705.in,code2,4,2.000000e-05
32,data_30-0.04-6573.in,code1,2,4.760000e-04
33,data_30-0.04-6573.in,code2,2,3.980000e-04
34,data_10-0.04-4783.in,code1,2,2.100000e-05
35,data_10-0.04-4783.in,code2,2,3.000000e-06
36,data_70-0.02-8321.in,code1,2,1.650410e-01
37,data_70-0.02-8321.in,code2,2,1.682360e-01
38,data_50-0.64-3648.in,code1,-1,1.000000e+02
39,data_50-0.64-3648.in,code2,-1,1.000000e+02
40,data_90-0.16-7107.in,code1,-1,1.000000e+02
41,data_90-0.16-7107.in,code2,-1,1.000000e+02
42,data_10-0.32-487.in,code1,3,1.500000e-05
43,data_10-0.32-487.in,code2,3,5.000000e-06
44,data_100-0.32-7107.in,code1,-1,1.000000e+02
45,data_100-0.32-7107.in,code2,-1,1.000000e+02
46,data_50-0.16-721.in,code1,5,1.783064e+01
47,data_50-0.16-721.in,code2,5,1.784660e+01
48,data_50-0.02-487.in,code1,2,5.210000e-04
49,data_50-0.02-487.in,code2,2,2.500000e-05
50,data_50-0.64-2783.in,code1,-1,1.000000e+02
51,data_50-0.64-2783.in,code2,-1,1.000000e+02
52,data_80-0.04-334.in,code1,-1,1.000000e+02
53,data_80-0.04-334.in,code2,-1,1.000000e+02
54,data_70-0.64-9806.in,code1,-1,1.000000e+02
55,data_70-0.64-9806.in,code2,-1,1.000000e+02
56,data_90-0.64-9806.in,code1,-1,1.000000e+02
57,data_90-0.64-9806.in,code2,-1,1.000000e+02
58,data_40-0.02-721.in,code1,3,1.873140e-01
59,data_40-0.02-721.in,code2,3,1.886140e-01
60,data_80-0.32-6194.in,code1,-1,1.000000e+02
61,data_80-0.32-6194.in,code2,-1,1.000000e+02
62,data_80-0.32-6757.in,code1,-1,1.000000e+02
63,data_80-0.32-6757.in,code2,-1,1.000000e+02
64,data_10-0.16-3705.in,code1,3,1.700000e-05
65,data_10-0.16-3705.in,code2,3,8.000000e-06
66,data_90-0.16-5840.in,code1,-1,1.000000e+02
67,data_90-0.16-5840.in,code2,-1,1.000000e+02
68,data_10-0.02-334.in,code1,2,2.200000e-05
69,data_10-0.02-334.in,code2,2,5.000000e-06
70,data_20-0.16-133.in,code1,3,8.800000e-05
