,file,algorithm,slots,runtime
0,data_40-0.05656854249492382-8105.in,code1,2,7.710000e-04
1,data_40-0.05656854249492382-8105.in,code2,2,3.970000e-04
2,data_12-0.3200000000000002-6757.in,code1,3,1.900000e-05
3,data_12-0.3200000000000002-6757.in,code2,3,6.000000e-06
4,data_24-0.04000000000000001-579.in,code1,2,8.000000e-05
5,data_24-0.04000000000000001-579.in,code2,2,7.000000e-06
6,data_72-0.11313708498984765-579.in,code1,-1,1.000000e+02
7,data_72-0.11313708498984765-579.in,code2,-1,1.000000e+02
8,data_68-0.04000000000000001-183.in,code1,3,3.141520e+00
9,data_68-0.04000000000000001-183.in,code2,3,3.123812e+00
10,data_88-0.1600000000000001-183.in,code1,-1,1.000000e+02
11,data_88-0.1600000000000001-183.in,code2,-1,1.000000e+02
12,data_64-0.02-183.in,code1,2,1.778058e+00
13,data_64-0.02-183.in,code2,2,1.779679e+00
14,data_60-0.22627416997969532-6757.in,code1,-1,1.000000e+02
15,data_60-0.22627416997969532-6757.in,code2,-1,1.000000e+02
16,data_16-0.028284271247461905-579.in,code1,2,3.500000e-05
17,data_16-0.028284271247461905-579.in,code2,2,4.000000e-06
18,data_100-0.22627416997969532-3648.in,code1,-1,1.000000e+02
19,data_100-0.22627416997969532-3648.in,code2,-1,1.000000e+02
20,data_68-0.1600000000000001-3648.in,code1,-1,1.000000e+02
21,data_68-0.1600000000000001-3648.in,code2,-1,1.000000e+02
22,data_52-0.6400000000000005-8105.in,code1,-1,1.000000e+02
23,data_52-0.6400000000000005-8105.in,code2,-1,1.000000e+02
24,data_56-0.1600000000000001-3648.in,code1,-1,1.000000e+02
25,data_56-0.1600000000000001-3648.in,code2,-1,1.000000e+02
26,data_84-0.22627416997969532-8105.in,code1,-1,1.000000e+02
27,data_84-0.22627416997969532-8105.in,code2,-1,1.000000e+02
28,data_32-0.6400000000000005-183.in,code1,-1,1.000000e+02
29,data_32-0.6400000000000005-183.in,code2,-1,1.000000e+02
30,data_36-0.1600000000000001-183.in,code1,4,1.894800e-02
31,data_36-0.1600000000000001-183.in,code2,4,1.917700e-02
32,data_52-0.028284271247461905-8105.in,code1,2,2.096190e-01
33,data_52-0.028284271247461905-8105.in,code2,2,2.082740e-01
34,data_48-0.028284271247461905-6757.in,code1,3,1.179800e-02
35,data_48-0.028284271247461905-6757.in,code2,3,1.194800e-02
36,data_48-0.1600000000000001-6757.in,code1,4,2.473637e+01
37,data_48-0.1600000000000001-6757.in,code2,4,2.308501e+01
38,data_12-0.08000000000000002-579.in,code1,2,3.400000e-05
39,data_12-0.08000000000000002-579.in,code2,2,1.900000e-05
40,data_84-0.45254833995939064-8105.in,code1,-1,1.000000e+02
41,data_84-0.45254833995939064-8105.in,code2,-1,1.000000e+02
42,data_44-0.04000000000000001-3648.in,code1,3,1.916700e-02
43,data_44-0.04000000000000001-3648.in,code2,3,1.339200e-02
44,data_56-0.04000000000000001-6757.in,code1,3,1.560000e-02
45,data_56-0.04000000000000001-6757.in,code2,3,2.079400e-02
46,data_80-0.11313708498984765-3648.in,code1,-1,1.000000e+02
47,data_80-0.11313708498984765-3648.in,code2,-1,1.000000e+02
48,data_8-0.22627416997969532-6757.in,code1,4,2.300000e-05
49,data_8-0.22627416997969532-6757.in,code2,4,2.500000e-05
50,data_2-0.11313708498984765-183.in,code1,2,0.000000e+00
51,data_2-0.11313708498984765-183.in,code2,2,2.000000e-06
52,data_68-0.02-6757.in,code1,2,2.552345e+00
53,data_68-0.02-6757.in,code2,2,2.556291e+00
54,data_84-0.11313708498984765-6757.in,code1,-1,1.000000e+02
55,data_84-0.11313708498984765-6757.in,code2,-1,1.000000e+02
56,data_72-0.6400000000000005-8105.in,code1,-1,1.000000e+02
57,data_72-0.6400000000000005-8105.in,code2,-1,1.000000e+02
58,data_24-0.6400000000000005-3648.in,code1,-1,1.000000e+02
59,data_24-0.6400000000000005-3648.in,code2,-1,1.000000e+02
60,data_64-0.1600000000000001-8105.in,code1,-1,1.000000e+02
61,data_64-0.1600000000000001-8105.in,code2,-1,1.000000e+02
62,data_92-0.3200000000000002-6757.in,code1,-1,1.000000e+02
63,data_92-0.3200000000000002-6757.in,code2,-1,1.000000e+02
64,data_44-0.08000000000000002-183.in,code1,3,1.275428e+01
65,data_44-0.08000000000000002-183.in,code2,3,1.263907e+01
66,data_92-0.6400000000000005-3648.in,code1,-1,1.000000e+02
67,data_92-0.6400000000000005-3648.in,code2,-1,1.000000e+02
68,data_48-0.11313708498984765-579.in,code1,4,4.590620e-01
69,data_48-0.11313708498984765-579.in,code2,4,4.559840e-01
70,data_100-0.1600000000000001-579.in,code1,-1,1.000000e+02
71,data_100-0.1600000000000001-579.in,code2,-1,1.000000e+02
72,data_12-0.22627416997969532-6757.in,code1,3,2.200000e-05
73,data_12-0.22627416997969532-6757.in,code2,3,8.000000e-06
74,data_40-0.6400000000000005-8105.in,code1,-1,1.000000e+02
75,data_40-0.6400000000000005-8105.in,code2,-1,1.000000e+02
76,data_80-0.028284271247461905-183.in,code1,3,2.850510e+00
77,data_80-0.028284271247461905-183.in,code2,3,2.851713e+00
78,data_68-0.05656854249492382-6757.in,code1,-1,1.000000e+02
79,data_68-0.05656854249492382-6757.in,code2,-1,1.000000e+02
80,data_60-0.02-3648.in,code1,2,8.500000e-04
81,data_60-0.02-3648.in,code2,2,3.600000e-05
82,data_84-0.3200000000000002-183.in,code1,-1,1.000000e+02
83,data_84-0.3200000000000002-183.in,code2,-1,1.000000e+02
84,data_20-0.6400000000000005-8105.in,code1,7,7.036000e-03
85,data_20-0.6400000000000005-8105.in,code2,7,4.466000e-03
86,data_24-0.45254833995939064-6757.in,code1,5,5.834000e-03
87,data_24-0.45254833995939064-6757.in,code2,5,6.503000e-03
88,data_48-0.028284271247461905-579.in,code1,2,5.500000e-04
89,data_48-0.028284271247461905-579.in,code2,2,3.000000e-04
90,data_92-0.02-8105.in,code1,-1,1.000000e+02
91,data_92-0.02-8105.in,code2,-1,1.000000e+02
92,data_8-0.05656854249492382-579.in,code1,1,1.400000e-05
93,data_8-0.05656854249492382-579.in,code2,2,4.000000e-06
94,data_24-0.05656854249492382-8105.in,code1,2,1.270000e-04
95,data_24-0.05656854249492382-8105.in,code2,2,9.000000e-06
96,data_52-0.04000000000000001-3648.in,code1,3,1.091200e-02
97,data_52-0.04000000000000001-3648.in,code2,3,1.116100e-02
98,data_60-0.3200000000000002-579.in,code1,-1,1.000000e+02
99,data_60-0.3200000000000002-579.in,code2,-1,1.000000e+02
100,data_8-0.1600000000000001-6757.in,code1,3,1.400000e-05
101,data_8-0.1600000000000001-6757.in,code2,3,5.000000e-06
102,data_96-0.08000000000000002-579.in,code1,-1,1.000000e+02
103,data_96-0.08000000000000002-579.in,code2,-1,1.000000e+02
104,data_96-0.11313708498984765-8105.in,code1,-1,1.000000e+02
105,data_96-0.11313708498984765-8105.in,code2,-1,1.000000e+02
106,data_60-0.028284271247461905-8105.in,code1,3,1.569873e+00
107,data_60-0.028284271247461905-8105.in,code2,3,1.588797e+00
108,data_20-0.11313708498984765-183.in,code1,3,7.200000e-05
109,data_20-0.11313708498984765-183.in,code2,3,1.200000e-05
110,data_36-0.028284271247461905-6757.in,code1,2,2.450000e-04
111,data_36-0.028284271247461905-6757.in,code2,2,3.700000e-05
112,data_16-0.02-3648.in,code1,2,5.500000e-05
113,data_16-0.02-3648.in,code2,2,9.000000e-06
114,data_16-0.45254833995939064-8105.in,code1,5,1.319000e-03
115,data_16-0.45254833995939064-8105.in,code2,5,1.807000e-03
116,data_72-0.45254833995939064-3648.in,code1,-1,1.000000e+02
117,data_72-0.45254833995939064-3648.in,code2,-1,1.000000e+02
118,data_12-0.028284271247461905-8105.in,code1,1,2.400000e-05
119,data_12-0.028284271247461905-8105.in,code2,2,5.000000e-06
120,data_92-0.05656854249492382-579.in,code1,-1,1.000000e+02
121,data_92-0.05656854249492382-579.in,code2,-1,1.000000e+02
122,data_2-0.11313708498984765-579.in,code1,1,2.000000e-06
123,data_2-0.11313708498984765-579.in,code2,2,2.000000e-06
124,data_16-0.45254833995939064-6757.in,code1,5,1.870000e-04
125,data_16-0.45254833995939064-6757.in,code2,5,1.290000e-04
126,data_92-0.028284271247461905-8105.in,code1,-1,1.000000e+02
127,data_92-0.028284271247461905-8105.in,code2,-1,1.000000e+02
128,data_16-0.3200000000000002-3648.in,code1,4,1.010000e-04
129,data_16-0.3200000000000002-3648.in,code2,4,9.500000e-05
130,data_36-0.05656854249492382-6757.in,code1,3,1.862000e-03
131,data_36-0.05656854249492382-6757.in,code2,3,1.178000e-03
132,data_92-0.6400000000000005-579.in,code1,-1,1.000000e+02
133,data_92-0.6400000000000005-579.in,code2,-1,1.000000e+02
134,data_60-0.08000000000000002-579.in,code1,3,1.339000e-03
135,data_60-0.08000000000000002-579.in,code2,3,8.720000e-04
136,data_88-0.6400000000000005-579.in,code1,-1,1.000000e+02
137,data_88-0.6400000000000005-579.in,code2,-1,1.000000e+02
138,data_72-0.1600000000000001-183.in,code1,-1,1.000000e+02
139,data_72-0.1600000000000001-183.in,code2,-1,1.000000e+02
140,data_32-0.04000000000000001-183.in,code1,2,3.447000e-03
141,data_32-0.04000000000000001-183.in,code2,2,3.456000e-03
142,data_12-0.04000000000000001-8105.in,code1,2,3.100000e-05
143,data_12-0.04000000000000001-8105.in,code2,2,7.000000e-06
144,data_2-0.6400000000000005-579.in,code1,2,0.000000e+00
145,data_2-0.6400000000000005-579.in,code2,2,2.000000e-06
146,data_28-0.11313708498984765-3648.in,code1,4,1.414660e-01
147,data_28-0.11313708498984765-3648.in,code2,4,1.440410e-01
148,data_48-0.04000000000000001-183.in,code1,3,2.903000e-03
149,data_48-0.04000000000000001-183.in,code2,3,3.955000e-03
150,data_76-0.3200000000000002-183.in,code1,-1,1.000000e+02
151,data_76-0.3200000000000002-183.in,code2,-1,1.000000e+02
152,data_40-0.05656854249492382-579.in,code1,3,3.085100e-02
153,data_40-0.05656854249492382-579.in,code2,3,2.866000e-02
154,data_72-0.05656854249492382-183.in,code1,-1,1.000000e+02
155,data_72-0.05656854249492382-183.in,code2,-1,1.000000e+02
156,data_92-0.1600000000000001-579.in,code1,-1,1.000000e+02
157,data_92-0.1600000000000001-579.in,code2,-1,1.000000e+02
158,data_4-0.05656854249492382-183.in,code1,2,4.000000e-06
159,data_4-0.05656854249492382-183.in,code2,2,3.000000e-06
160,data_16-0.3200000000000002-6757.in,code1,4,8.500000e-05
161,data_16-0.3200000000000002-6757.in,code2,4,3.800000e-05
162,data_56-0.02-3648.in,code1,3,3.810867e+01
163,data_56-0.02-3648.in,code2,3,3.830728e+01
164,data_96-0.05656854249492382-183.in,code1,-1,1.000000e+02
165,data_96-0.05656854249492382-183.in,code2,-1,1.000000e+02
166,data_76-0.04000000000000001-3648.in,code1,-1,1.000000e+02
167,data_76-0.04000000000000001-3648.in,code2,-1,1.000000e+02
168,data_4-0.11313708498984765-579.in,code1,1,3.000000e-06
169,data_4-0.11313708498984765-579.in,code2,2,2.000000e-06
170,data_96-0.04000000000000001-6757.in,code1,-1,1.000000e+02
171,data_96-0.04000000000000001-6757.in,code2,-1,1.000000e+02
172,data_24-0.6400000000000005-183.in,code1,-1,1.000000e+02
173,data_24-0.6400000000000005-183.in,code2,-1,1.000000e+02
174,data_16-0.22627416997969532-3648.in,code1,3,3.800000e-05
175,data_16-0.22627416997969532-3648.in,code2,3,1.300000e-05
176,data_68-0.05656854249492382-579.in,code1,3,8.170470e-01
177,data_68-0.05656854249492382-579.in,code2,3,8.129570e-01
178,data_96-0.02-3648.in,code1,-1,1.000000e+02
179,data_96-0.02-3648.in,code2,-1,1.000000e+02
180,data_28-0.3200000000000002-8105.in,code1,5,1.416500e-02
181,data_28-0.3200000000000002-8105.in,code2,5,1.373100e-02
182,data_88-0.22627416997969532-579.in,code1,-1,1.000000e+02
183,data_88-0.22627416997969532-579.in,code2,-1,1.000000e+02
184,data_56-0.3200000000000002-183.in,code1,-1,1.000000e+02
185,data_56-0.3200000000000002-183.in,code2,-1,1.000000e+02
186,data_48-0.08000000000000002-6757.in,code1,4,1.336018e+01
187,data_48-0.08000000000000002-6757.in,code2,4,1.332863e+01
188,data_40-0.45254833995939064-3648.in,code1,-1,1.000000e+02
189,data_40-0.45254833995939064-3648.in,code2,-1,1.000000e+02
190,data_76-0.6400000000000005-579.in,code1,-1,1.000000e+02
191,data_76-0.6400000000000005-579.in,code2,-1,1.000000e+02
192,data_100-0.02-183.in,code1,-1,1.000000e+02
193,data_100-0.02-183.in,code2,-1,1.000000e+02
194,data_24-0.05656854249492382-579.in,code1,2,1.190000e-04
195,data_24-0.05656854249492382-579.in,code2,2,1.100000e-05
196,data_64-0.02-8105.in,code1,-1,1.000000e+02
197,data_64-0.02-8105.in,code2,-1,1.000000e+02
198,data_24-0.6400000000000005-6757.in,code1,8,3.753659e+01
199,data_24-0.6400000000000005-6757.in,code2,8,3.797826e+01
200,data_68-0.45254833995939064-6757.in,code1,-1,1.000000e+02
201,data_68-0.45254833995939064-6757.in,code2,-1,1.000000e+02
202,data_72-0.3200000000000002-579.in,code1,-1,1.000000e+02
203,data_72-0.3200000000000002-579.in,code2,-1,1.000000e+02
204,data_44-0.22627416997969532-8105.in,code1,5,2.404078e+01
205,data_44-0.22627416997969532-8105.in,code2,5,2.157415e+01
206,data_88-0.6400000000000005-6757.in,code1,-1,1.000000e+02
207,data_88-0.6400000000000005-6757.in,code2,-1,1.000000e+02
208,data_56-0.11313708498984765-183.in,code1,4,7.576506e+01
209,data_56-0.11313708498984765-183.in,code2,4,2.513115e+01
210,data_16-0.22627416997969532-8105.in,code1,3,5.700000e-05
211,data_16-0.22627416997969532-8105.in,code2,3,3.000000e-05
212,data_8-0.22627416997969532-8105.in,code1,2,1.300000e-05
213,data_8-0.22627416997969532-8105.in,code2,2,3.000000e-06
214,data_92-0.6400000000000005-8105.in,code1,-1,1.000000e+02
215,data_92-0.6400000000000005-8105.in,code2,-1,1.000000e+02
216,data_64-0.08000000000000002-8105.in,code1,-1,1.000000e+02
217,data_64-0.08000000000000002-8105.in,code2,-1,1.000000e+02
218,data_60-0.028284271247461905-6757.in,code1,3,1.224100e-02
219,data_60-0.028284271247461905-6757.in,code2,3,1.031200e-02
220,data_100-0.3200000000000002-6757.in,code1,-1,1.000000e+02
221,data_100-0.3200000000000002-6757.in,code2,-1,1.000000e+02
222,data_100-0.1600000000000001-8105.in,code1,-1,1.000000e+02
223,data_100-0.1600000000000001-8105.in,code2,-1,1.000000e+02
224,data_36-0.6400000000000005-8105.in,code1,-1,1.000000e+02
225,data_36-0.6400000000000005-8105.in,code2,-1,1.000000e+02
226,data_28-0.45254833995939064-579.in,code1,6,1.118261e+00
227,data_28-0.45254833995939064-579.in,code2,6,6.703160e-01
228,data_36-0.04000000000000001-8105.in,code1,2,4.001000e-03
229,data_36-0.04000000000000001-8105.in,code2,2,2.498000e-03
230,data_96-0.1600000000000001-183.in,code1,-1,1.000000e+02
231,data_96-0.1600000000000001-183.in,code2,-1,1.000000e+02
232,data_36-0.3200000000000002-183.in,code1,6,6.485319e+00
233,data_36-0.3200000000000002-183.in,code2,6,6.563885e+00
234,data_88-0.08000000000000002-6757.in,code1,-1,1.000000e+02
235,data_88-0.08000000000000002-6757.in,code2,-1,1.000000e+02
236,data_28-0.08000000000000002-183.in,code1,3,1.268100e-02
237,data_28-0.08000000000000002-183.in,code2,3,1.098200e-02
238,data_12-0.11313708498984765-579.in,code1,2,2.200000e-05
239,data_12-0.11313708498984765-579.in,code2,2,9.000000e-06
240,data_40-0.02-8105.in,code1,2,4.850000e-04
241,data_40-0.02-8105.in,code2,2,1.400000e-04
242,data_92-0.22627416997969532-8105.in,code1,-1,1.000000e+02
243,data_92-0.22627416997969532-8105.in,code2,-1,1.000000e+02
244,data_52-0.02-183.in,code1,2,4.927840e-01
245,data_52-0.02-183.in,code2,2,4.885440e-01
246,data_80-0.08000000000000002-183.in,code1,-1,1.000000e+02
247,data_80-0.08000000000000002-183.in,code2,-1,1.000000e+02
248,data_48-0.22627416997969532-183.in,code1,-1,1.000000e+02
249,data_48-0.22627416997969532-183.in,code2,-1,1.000000e+02
250,data_96-0.04000000000000001-579.in,code1,-1,1.000000e+02
251,data_96-0.04000000000000001-579.in,code2,-1,1.000000e+02
252,data_36-0.04000000000000001-579.in,code1,2,2.173200e-02
253,data_36-0.04000000000000001-579.in,code2,2,2.025600e-02
254,data_28-0.45254833995939064-183.in,code1,6,5.815760e-01
255,data_28-0.45254833995939064-183.in,code2,6,5.851420e-01
256,data_12-0.22627416997969532-183.in,code1,3,3.900000e-05
257,data_12-0.22627416997969532-183.in,code2,3,2.700000e-05
258,data_80-0.3200000000000002-183.in,code1,-1,1.000000e+02
259,data_80-0.3200000000000002-183.in,code2,-1,1.000000e+02
260,data_96-0.05656854249492382-3648.in,code1,-1,1.000000e+02
261,data_96-0.05656854249492382-3648.in,code2,-1,1.000000e+02
262,data_24-0.02-8105.in,code1,2,1.290000e-04
263,data_24-0.02-8105.in,code2,2,1.200000e-05
264,data_40-0.04000000000000001-183.in,code1,3,7.551900e+01
265,data_40-0.04000000000000001-183.in,code2,3,7.492398e+01
266,data_68-0.22627416997969532-183.in,code1,-1,1.000000e+02
267,data_68-0.22627416997969532-183.in,code2,-1,1.000000e+02
268,data_12-0.1600000000000001-6757.in,code1,3,2.400000e-05
269,data_12-0.1600000000000001-6757.in,code2,3,9.000000e-06
270,data_48-0.1600000000000001-579.in,code1,4,5.786069e+00
271,data_48-0.1600000000000001-579.in,code2,4,5.717147e+00
272,data_8-0.22627416997969532-183.in,code1,3,1.500000e-05
273,data_8-0.22627416997969532-183.in,code2,3,1.300000e-05
274,data_68-0.1600000000000001-183.in,code1,-1,1.000000e+02
275,data_68-0.1600000000000001-183.in,code2,-1,1.000000e+02
276,data_12-0.05656854249492382-8105.in,code1,2,3.100000e-05
277,data_12-0.05656854249492382-8105.in,code2,2,5.000000e-06
278,data_88-0.04000000000000001-6757.in,code1,-1,1.000000e+02
279,data_88-0.04000000000000001-6757.in,code2,-1,1.000000e+02
280,data_44-0.02-6757.in,code1,2,3.800000e-04
281,data_44-0.02-6757.in,code2,2,2.200000e-05
282,data_12-0.028284271247461905-6757.in,code1,2,2.400000e-05
283,data_12-0.028284271247461905-6757.in,code2,2,4.000000e-06
284,data_56-0.02-6757.in,code1,2,5.850000e-04
285,data_56-0.02-6757.in,code2,2,3.100000e-05
286,data_20-0.6400000000000005-3648.in,code1,7,4.678000e-02
287,data_20-0.6400000000000005-3648.in,code2,7,4.499100e-02
288,data_32-0.04000000000000001-6757.in,code1,2,3.740000e-04
289,data_32-0.04000000000000001-6757.in,code2,2,2.490000e-04
