Exams,Probability,Seed,Code Type,N,Time
40,0.05656854249492382,8105,code1,2,7.710000e-04
40,0.05656854249492382,8105,code2,2,3.970000e-04
12,0.3200000000000002,6757,code1,3,1.900000e-05
12,0.3200000000000002,6757,code2,3,6.000000e-06
24,0.04000000000000001,579,code1,2,8.000000e-05
24,0.04000000000000001,579,code2,2,7.000000e-06
68,0.04000000000000001,183,code1,3,3.141520e+00
68,0.04000000000000001,183,code2,3,3.123812e+00
64,0.02,183,code1,2,1.778058e+00
64,0.02,183,code2,2,1.779679e+00
16,0.028284271247461905,579,code1,2,3.500000e-05
16,0.028284271247461905,579,code2,2,4.000000e-06
36,0.1600000000000001,183,code1,4,1.894800e-02
36,0.1600000000000001,183,code2,4,1.917700e-02
52,0.028284271247461905,8105,code1,2,2.096190e-01
52,0.028284271247461905,8105,code2,2,2.082740e-01
48,0.028284271247461905,6757,code1,3,1.179800e-02
48,0.028284271247461905,6757,code2,3,1.194800e-02
48,0.1600000000000001,6757,code1,4,2.473637e+01
48,0.1600000000000001,6757,code2,4,2.308501e+01
12,0.08000000000000002,579,code1,2,3.400000e-05
12,0.08000000000000002,579,code2,2,1.900000e-05
44,0.04000000000000001,3648,code1,3,1.916700e-02
44,0.04000000000000001,3648,code2,3,1.339200e-02
56,0.04000000000000001,6757,code1,3,1.560000e-02
56,0.04000000000000001,6757,code2,3,2.079400e-02
8,0.22627416997969532,6757,code1,4,2.300000e-05
8,0.22627416997969532,6757,code2,4,2.500000e-05
2,0.11313708498984765,183,code1,2,0.000000e+00
2,0.11313708498984765,183,code2,2,2.000000e-06
68,0.02,6757,code1,2,2.552345e+00
68,0.02,6757,code2,2,2.556291e+00
44,0.08000000000000002,183,code1,3,1.275428e+01
44,0.08000000000000002,183,code2,3,1.263907e+01
48,0.11313708498984765,579,code1,4,4.590620e-01
48,0.11313708498984765,579,code2,4,4.559840e-01
12,0.22627416997969532,6757,code1,3,2.200000e-05
12,0.22627416997969532,6757,code2,3,8.000000e-06
80,0.028284271247461905,183,code1,3,2.850510e+00
80,0.028284271247461905,183,code2,3,2.851713e+00
60,0.02,3648,code1,2,8.500000e-04
60,0.02,3648,code2,2,3.600000e-05
20,0.6400000000000005,8105,code1,7,7.036000e-03
20,0.6400000000000005,8105,code2,7,4.466000e-03
24,0.45254833995939064,6757,code1,5,5.834000e-03
24,0.45254833995939064,6757,code2,5,6.503000e-03
48,0.028284271247461905,579,code1,2,5.500000e-04
48,0.028284271247461905,579,code2,2,3.000000e-04
8,0.05656854249492382,579,code1,1,1.400000e-05
8,0.05656854249492382,579,code2,2,4.000000e-06
24,0.05656854249492382,8105,code1,2,1.270000e-04
24,0.05656854249492382,8105,code2,2,9.000000e-06
52,0.04000000000000001,3648,code1,3,1.091200e-02
52,0.04000000000000001,3648,code2,3,1.116100e-02
8,0.1600000000000001,6757,code1,3,1.400000e-05
8,0.1600000000000001,6757,code2,3,5.000000e-06
60,0.028284271247461905,8105,code1,3,1.569873e+00
60,0.028284271247461905,8105,code2,3,1.588797e+00
20,0.11313708498984765,183,code1,3,7.200000e-05
20,0.11313708498984765,183,code2,3,1.200000e-05
36,0.028284271247461905,6757,code1,2,2.450000e-04
36,0.028284271247461905,6757,code2,2,3.700000e-05
16,0.02,3648,code1,2,5.500000e-05
16,0.02,3648,code2,2,9.000000e-06
16,0.45254833995939064,8105,code1,5,1.319000e-03
16,0.45254833995939064,8105,code2,5,1.807000e-03
12,0.028284271247461905,8105,code1,1,2.400000e-05
12,0.028284271247461905,8105,code2,2,5.000000e-06
2,0.11313708498984765,579,code1,1,2.000000e-06
2,0.11313708498984765,579,code2,2,2.000000e-06
16,0.45254833995939064,6757,code1,5,1.870000e-04
16,0.45254833995939064,6757,code2,5,1.290000e-04
16,0.3200000000000002,3648,code1,4,1.010000e-04
16,0.3200000000000002,3648,code2,4,9.500000e-05
36,0.05656854249492382,6757,code1,3,1.862000e-03
36,0.05656854249492382,6757,code2,3,1.178000e-03
60,0.08000000000000002,579,code1,3,1.339000e-03
60,0.08000000000000002,579,code2,3,8.720000e-04
32,0.04000000000000001,183,code1,2,3.447000e-03
32,0.04000000000000001,183,code2,2,3.456000e-03
12,0.04000000000000001,8105,code1,2,3.100000e-05
12,0.04000000000000001,8105,code2,2,7.000000e-06
2,0.6400000000000005,579,code1,2,0.000000e+00
2,0.6400000000000005,579,code2,2,2.000000e-06
28,0.11313708498984765,3648,code1,4,1.414660e-01
28,0.11313708498984765,3648,code2,4,1.440410e-01
48,0.04000000000000001,183,code1,3,2.903000e-03
48,0.04000000000000001,183,code2,3,3.955000e-03
40,0.05656854249492382,579,code1,3,3.085100e-02
40,0.05656854249492382,579,code2,3,2.866000e-02
4,0.05656854249492382,183,code1,2,4.000000e-06
4,0.05656854249492382,183,code2,2,3.000000e-06
16,0.3200000000000002,6757,code1,4,8.500000e-05
16,0.3200000000000002,6757,code2,4,3.800000e-05
56,0.02,3648,code1,3,3.810867e+01
56,0.02,3648,code2,3,3.830728e+01
4,0.11313708498984765,579,code1,1,3.000000e-06
4,0.11313708498984765,579,code2,2,2.000000e-06
16,0.22627416997969532,3648,code1,3,3.800000e-05
16,0.22627416997969532,3648,code2,3,1.300000e-05
68,0.05656854249492382,579,code1,3,8.170470e-01
68,0.05656854249492382,579,code2,3,8.129570e-01
28,0.3200000000000002,8105,code1,5,1.416500e-02
28,0.3200000000000002,8105,code2,5,1.373100e-02
48,0.08000000000000002,6757,code1,4,1.336018e+01
48,0.08000000000000002,6757,code2,4,1.332863e+01
24,0.05656854249492382,579,code1,2,1.190000e-04
24,0.05656854249492382,579,code2,2,1.100000e-05
24,0.6400000000000005,6757,code1,8,3.753659e+01
24,0.6400000000000005,6757,code2,8,3.797826e+01
44,0.22627416997969532,8105,code1,5,2.404078e+01
44,0.22627416997969532,8105,code2,5,2.157415e+01
56,0.11313708498984765,183,code1,4,7.576506e+01
56,0.11313708498984765,183,code2,4,2.513115e+01
16,0.22627416997969532,8105,code1,3,5.700000e-05
16,0.22627416997969532,8105,code2,3,3.000000e-05
8,0.22627416997969532,8105,code1,2,1.300000e-05
8,0.22627416997969532,8105,code2,2,3.000000e-06
60,0.028284271247461905,6757,code1,3,1.224100e-02
60,0.028284271247461905,6757,code2,3,1.031200e-02
28,0.45254833995939064,579,code1,6,1.118261e+00
28,0.45254833995939064,579,code2,6,6.703160e-01
36,0.04000000000000001,8105,code1,2,4.001000e-03
36,0.04000000000000001,8105,code2,2,2.498000e-03
36,0.3200000000000002,183,code1,6,6.485319e+00
36,0.3200000000000002,183,code2,6,6.563885e+00
28,0.08000000000000002,183,code1,3,1.268100e-02
28,0.08000000000000002,183,code2,3,1.098200e-02
12,0.11313708498984765,579,code1,2,2.200000e-05
12,0.11313708498984765,579,code2,2,9.000000e-06
40,0.02,8105,code1,2,4.850000e-04
40,0.02,8105,code2,2,1.400000e-04
52,0.02,183,code1,2,4.927840e-01
52,0.02,183,code2,2,4.885440e-01
36,0.04000000000000001,579,code1,2,2.173200e-02
36,0.04000000000000001,579,code2,2,2.025600e-02
28,0.45254833995939064,183,code1,6,5.815760e-01
28,0.45254833995939064,183,code2,6,5.851420e-01
12,0.22627416997969532,183,code1,3,3.900000e-05
12,0.22627416997969532,183,code2,3,2.700000e-05
24,0.02,8105,code1,2,1.290000e-04
24,0.02,8105,code2,2,1.200000e-05
40,0.04000000000000001,183,code1,3,7.551900e+01
40,0.04000000000000001,183,code2,3,7.492398e+01
12,0.1600000000000001,6757,code1,3,2.400000e-05
12,0.1600000000000001,6757,code2,3,9.000000e-06
48,0.1600000000000001,579,code1,4,5.786069e+00
48,0.1600000000000001,579,code2,4,5.717147e+00
8,0.22627416997969532,183,code1,3,1.500000e-05
8,0.22627416997969532,183,code2,3,1.300000e-05
12,0.05656854249492382,8105,code1,2,3.100000e-05
12,0.05656854249492382,8105,code2,2,5.000000e-06
44,0.02,6757,code1,2,3.800000e-04
44,0.02,6757,code2,2,2.200000e-05
12,0.028284271247461905,6757,code1,2,2.400000e-05
12,0.028284271247461905,6757,code2,2,4.000000e-06
56,0.02,6757,code1,2,5.850000e-04
56,0.02,6757,code2,2,3.100000e-05
20,0.6400000000000005,3648,code1,7,4.678000e-02
20,0.6400000000000005,3648,code2,7,4.499100e-02
32,0.04000000000000001,6757,code1,2,3.740000e-04
32,0.04000000000000001,6757,code2,2,2.490000e-04
4,0.02,579,code1,1,4.000000e-06
4,0.02,579,code2,2,2.000000e-06
28,0.22627416997969532,579,code1,4,5.010000e-04
28,0.22627416997969532,579,code2,4,3.510000e-04
16,0.04000000000000001,6757,code1,3,6.400000e-05
16,0.04000000000000001,6757,code2,3,2.100000e-05
2,0.04000000000000001,579,code1,1,2.000000e-06
2,0.04000000000000001,579,code2,2,2.000000e-06
4,0.6400000000000005,8105,code1,4,2.000000e-06
4,0.6400000000000005,8105,code2,4,4.000000e-06
20,0.6400000000000005,579,code1,8,3.870160e-01
20,0.6400000000000005,579,code2,8,3.893670e-01
2,0.1600000000000001,3648,code1,1,2.000000e-06
2,0.1600000000000001,3648,code2,2,1.000000e-06
56,0.028284271247461905,8105,code1,3,4.135265e+00
56,0.028284271247461905,8105,code2,3,4.115743e+00
72,0.028284271247461905,183,code1,3,9.905530e-01
