Exams,Probability,Seed,Code Type,N,Time
2,0.08,334,code1,1,2.000000e-06
2,0.08,334,code2,2,1.000000e-06
20,0.32,3401,code1,4,3.139000e-03
20,0.32,3401,code2,4,3.581000e-03
50,0.02,3749,code1,2,1.124800e-02
50,0.02,3749,code2,2,9.901000e-03
40,0.02,3749,code1,2,3.010000e-04
40,0.02,3749,code2,2,3.900000e-05
30,0.02,487,code1,2,2.180000e-04
30,0.02,487,code2,2,3.100000e-05
2,0.64,1278,code1,2,0.000000e+00
2,0.64,1278,code2,2,2.000000e-06
10,0.32,3705,code1,4,2.900000e-05
10,0.32,3705,code2,4,2.000000e-05
30,0.04,6573,code1,2,4.760000e-04
30,0.04,6573,code2,2,3.980000e-04
10,0.04,4783,code1,2,2.100000e-05
10,0.04,4783,code2,2,3.000000e-06
70,0.02,8321,code1,2,1.650410e-01
70,0.02,8321,code2,2,1.682360e-01
10,0.32,487,code1,3,1.500000e-05
10,0.32,487,code2,3,5.000000e-06
50,0.16,721,code1,5,1.783064e+01
50,0.16,721,code2,5,1.784660e+01
50,0.02,487,code1,2,5.210000e-04
50,0.02,487,code2,2,2.500000e-05
40,0.02,721,code1,3,1.873140e-01
40,0.02,721,code2,3,1.886140e-01
10,0.16,3705,code1,3,1.700000e-05
10,0.16,3705,code2,3,8.000000e-06
10,0.02,334,code1,2,2.200000e-05
10,0.02,334,code2,2,5.000000e-06
20,0.16,133,code1,3,8.800000e-05
20,0.16,133,code2,3,1.400000e-05
20,0.04,7215,code1,2,9.500000e-05
20,0.04,7215,code2,2,1.800000e-05
30,0.04,6489,code1,2,1.730000e-04
30,0.04,6489,code2,2,2.000000e-05
30,0.64,6726,code1,8,7.973800e-02
30,0.64,6726,code2,8,8.001600e-02
2,0.64,8105,code1,1,2.000000e-06
2,0.64,8105,code2,2,2.000000e-06
80,0.02,3749,code1,3,1.100050e+01
80,0.02,3749,code2,3,1.095488e+01
50,0.08,5840,code1,3,2.648497e+00
50,0.08,5840,code2,3,2.693476e+00
80,0.02,6194,code1,3,1.507263e+01
80,0.02,6194,code2,3,1.512623e+01
60,0.08,2783,code1,4,7.088514e+01
60,0.08,2783,code2,4,7.182840e+01
60,0.02,3648,code1,2,8.290000e-04
60,0.02,3648,code2,2,3.000000e-05
70,0.08,6573,code1,4,2.108744e+01
70,0.08,6573,code2,4,2.100918e+01
30,0.04,183,code1,2,1.640000e-04
30,0.04,183,code2,2,2.400000e-05
50,0.02,9544,code1,2,1.196900e-02
50,0.02,9544,code2,2,1.263200e-02
2,0.32,1278,code1,2,1.000000e-06
