,file,algorithm,slots,runtime
6,data_20-0.32-3401.in,code1,4,0.003139
7,data_20-0.32-3401.in,code2,4,0.003581
12,data_50-0.02-3749.in,code1,2,0.011248
13,data_50-0.02-3749.in,code2,2,0.009901
16,data_40-0.02-3749.in,code1,2,0.000301
17,data_40-0.02-3749.in,code2,2,3.9e-05
18,data_30-0.02-487.in,code1,2,0.000218
19,data_30-0.02-487.in,code2,2,3.1e-05
36,data_70-0.02-8321.in,code1,2,0.165041
37,data_70-0.02-8321.in,code2,2,0.168236
46,data_50-0.16-721.in,code1,5,17.83064
47,data_50-0.16-721.in,code2,5,17.8466
48,data_50-0.02-487.in,code1,2,0.000521
49,data_50-0.02-487.in,code2,2,2.5e-05
58,data_40-0.02-721.in,code1,3,0.187314
59,data_40-0.02-721.in,code2,3,0.188614
80,data_30-0.04-6489.in,code1,2,0.000173
81,data_30-0.04-6489.in,code2,2,2e-05
86,data_30-0.64-6726.in,code1,8,0.079738
87,data_30-0.64-6726.in,code2,8,0.080016
92,data_80-0.02-3749.in,code1,3,11.0005
93,data_80-0.02-3749.in,code2,3,10.95488
98,data_50-0.08-5840.in,code1,3,2.648497
99,data_50-0.08-5840.in,code2,3,2.693476
104,data_80-0.02-6194.in,code1,3,15.07263
105,data_80-0.02-6194.in,code2,3,15.12623
108,data_60-0.08-2783.in,code1,4,70.88514
109,data_60-0.08-2783.in,code2,4,71.8284
110,data_60-0.02-3648.in,code1,2,0.000829
111,data_60-0.02-3648.in,code2,2,3e-05
112,data_70-0.08-6573.in,code1,4,21.08744
113,data_70-0.08-6573.in,code2,4,21.00918
114,data_30-0.04-183.in,code1,2,0.000164
115,data_30-0.04-183.in,code2,2,2.4e-05
116,data_50-0.02-9544.in,code1,2,0.011969
117,data_50-0.02-9544.in,code2,2,0.012632
128,data_50-0.08-6489.in,code1,3,25.17307
129,data_50-0.08-6489.in,code2,3,25.41738
136,data_20-0.64-183.in,code1,7,0.01107
137,data_20-0.64-183.in,code2,7,0.013199
138,data_30-0.64-8105.in,code1,9,26.0417
139,data_30-0.64-8105.in,code2,9,26.57437
144,data_40-0.04-6194.in,code1,3,0.003948
145,data_40-0.04-6194.in,code2,3,0.007082
146,data_20-0.64-3648.in,code1,7,0.041113
147,data_20-0.64-3648.in,code2,7,0.047099
148,data_30-0.16-3648.in,code1,4,0.000426
149,data_30-0.16-3648.in,code2,4,0.000283
152,data_30-0.32-6757.in,code1,5,0.005318
153,data_30-0.32-6757.in,code2,5,0.003325
156,data_70-0.04-6930.in,code1,3,7.151344
157,data_70-0.04-6930.in,code2,3,7.150035
162,data_70-0.04-3648.in,code1,3,33.94502
163,data_70-0.04-3648.in,code2,3,34.17214
180,data_70-0.04-1278.in,code1,3,0.521244
181,data_70-0.04-1278.in,code2,3,0.523997
182,data_50-0.02-4783.in,code1,2,0.010915
183,data_50-0.02-4783.in,code2,2,0.009662
184,data_30-0.02-5855.in,code1,2,0.000124
185,data_30-0.02-5855.in,code2,2,1e-05
188,data_40-0.02-487.in,code1,2,8.058639
189,data_40-0.02-487.in,code2,2,7.940298
194,data_30-0.32-6194.in,code1,5,0.050605
195,data_30-0.32-6194.in,code2,5,0.046771
210,data_50-0.04-8105.in,code1,3,0.056918
211,data_50-0.04-8105.in,code2,3,0.059489
218,data_30-0.04-5840.in,code1,2,0.000155
219,data_30-0.04-5840.in,code2,2,1.3e-05
226,data_30-0.08-721.in,code1,3,0.000212
227,data_30-0.08-721.in,code2,3,2.2e-05
230,data_30-0.16-579.in,code1,4,0.004031
231,data_30-0.16-579.in,code2,4,0.00421
232,data_60-0.04-6726.in,code1,3,0.004731
233,data_60-0.04-6726.in,code2,3,0.003783
238,data_20-0.64-7215.in,code1,7,0.034762
239,data_20-0.64-7215.in,code2,7,0.022953
242,data_30-0.02-6489.in,code1,2,0.000127
243,data_30-0.02-6489.in,code2,2,1.4e-05
244,data_20-0.64-8321.in,code1,7,0.061457
245,data_20-0.64-8321.in,code2,7,0.066242
274,data_70-0.04-133.in,code1,3,0.003041
275,data_70-0.04-133.in,code2,3,0.002301
284,data_40-0.16-6757.in,code1,4,0.005679
285,data_40-0.16-6757.in,code2,4,0.008642
290,data_70-0.02-579.in,code1,3,12.81764
291,data_70-0.02-579.in,code2,3,12.72449
292,data_40-0.08-6726.in,code1,3,0.001719
293,data_40-0.08-6726.in,code2,3,0.001423
302,data_40-0.04-9665.in,code1,3,0.013542
303,data_40-0.04-9665.in,code2,3,0.019214
318,data_50-0.04-3401.in,code1,3,0.117323
319,data_50-0.04-3401.in,code2,3,0.122388
322,data_40-0.02-8105.in,code1,2,0.000485
323,data_40-0.02-8105.in,code2,2,0.000144
324,data_60-0.04-183.in,code1,3,0.000941
325,data_60-0.04-183.in,code2,3,0.000104
340,data_30-0.16-6489.in,code1,3,0.001816
341,data_30-0.16-6489.in,code2,3,0.001168
342,data_50-0.04-2405.in,code1,3,0.14932
343,data_50-0.04-2405.in,code2,3,0.146777
348,data_80-0.02-1278.in,code1,3,48.30485
349,data_80-0.02-1278.in,code2,3,47.90033
350,data_40-0.16-6573.in,code1,4,0.00964
351,data_40-0.16-6573.in,code2,4,0.005699
356,data_30-0.16-4783.in,code1,4,0.033504
357,data_30-0.16-4783.in,code2,4,0.029289
376,data_70-0.02-334.in,code1,2,0.006483
377,data_70-0.02-334.in,code2,2,0.005102
380,data_40-0.04-183.in,code1,3,74.88111
381,data_40-0.04-183.in,code2,3,74.87406
382,data_70-0.04-487.in,code1,3,0.020503
383,data_70-0.04-487.in,code2,3,0.019792
384,data_60-0.02-9665.in,code1,2,0.001302
385,data_60-0.02-9665.in,code2,2,0.001078
402,data_60-0.04-6757.in,code1,3,0.699507
403,data_60-0.04-6757.in,code2,3,0.685409
406,data_20-0.64-5855.in,code1,6,0.002576
407,data_20-0.64-5855.in,code2,6,0.002717
412,data_30-0.64-7215.in,code1,9,23.63121
413,data_30-0.64-7215.in,code2,9,24.24528
