sample,file,algorithm,slots,runtime
0,data_20-0.34-11974.in,code1,4,1.357000e-03
1,data_20-0.34-11974.in,code2,4,9.490000e-04
2,data_60-0.64-20644.in,code1,-1,1.000000e+02
3,data_60-0.64-20644.in,code2,-1,1.000000e+02
4,data_100-0.58-35661.in,code1,-1,1.000000e+02
5,data_100-0.58-35661.in,code2,-1,1.000000e+02
6,data_40-0.5-45495.in,code1,8,2.432991e+01
7,data_40-0.5-45495.in,code2,-1,1.000000e+02
8,data_20-0.64-20644.in,code1,7,1.209500e-02
9,data_20-0.64-20644.in,code2,7,2.114000e-02
10,data_60-0.5-82261.in,code1,-1,1.000000e+02
11,data_60-0.5-82261.in,code2,-1,1.000000e+02
12,data_100-0.62-23212.in,code1,-1,1.000000e+02
13,data_100-0.62-23212.in,code2,-1,1.000000e+02
14,data_50-0.5-93196.in,code1,-1,1.000000e+02
15,data_50-0.5-93196.in,code2,-1,1.000000e+02
16,data_10-0.34-32552.in,code1,3,1.800000e-05
17,data_10-0.34-32552.in,code2,3,1.400000e-05
18,data_70-0.02-14308.in,code1,2,1.509878e+00
19,data_70-0.02-14308.in,code2,2,2.555635e+00
20,data_100-0.5-25053.in,code1,-1,1.000000e+02
21,data_100-0.5-25053.in,code2,-1,1.000000e+02
22,data_20-0.58-45495.in,code1,6,1.982000e-03
23,data_20-0.58-45495.in,code2,6,7.831000e-03
24,data_90-0.58-47252.in,code1,-1,1.000000e+02
25,data_90-0.58-47252.in,code2,-1,1.000000e+02
26,data_100-0.64-38658.in,code1,-1,1.000000e+02
27,data_100-0.64-38658.in,code2,-1,1.000000e+02
28,data_10-0.34-38658.in,code1,4,7.300000e-05
29,data_10-0.34-38658.in,code2,4,3.300000e-05
30,data_80-0.34-70889.in,code1,-1,1.000000e+02
31,data_80-0.34-70889.in,code2,-1,1.000000e+02
32,data_40-0.58-38658.in,code1,-1,1.000000e+02
33,data_40-0.58-38658.in,code2,-1,1.000000e+02
34,data_70-0.64-32552.in,code1,-1,1.000000e+02
35,data_70-0.64-32552.in,code2,-1,1.000000e+02
36,data_100-0.02-11974.in,code1,-1,1.000000e+02
37,data_100-0.02-11974.in,code2,-1,1.000000e+02
38,data_90-0.5-93196.in,code1,-1,1.000000e+02
39,data_90-0.5-93196.in,code2,-1,1.000000e+02
40,data_40-0.5-11961.in,code1,-1,1.000000e+02
41,data_40-0.5-11961.in,code2,-1,1.000000e+02
42,data_70-0.58-47252.in,code1,-1,1.000000e+02
43,data_70-0.58-47252.in,code2,-1,1.000000e+02
44,data_40-0.34-93196.in,code1,-1,1.000000e+02
45,data_40-0.34-93196.in,code2,-1,1.000000e+02
46,data_10-0.62-64116.in,code1,6,7.400000e-05
47,data_10-0.62-64116.in,code2,6,1.500000e-04
48,data_80-0.58-45455.in,code1,-1,1.000000e+02
49,data_80-0.58-45455.in,code2,-1,1.000000e+02
50,data_80-0.58-26078.in,code1,-1,1.000000e+02
51,data_80-0.58-26078.in,code2,-1,1.000000e+02
52,data_60-0.02-37303.in,code1,2,3.638580e-01
53,data_60-0.02-37303.in,code2,2,1.329546e+01
54,data_30-0.02-45455.in,code1,2,2.010000e-04
55,data_30-0.02-45455.in,code2,2,1.600000e-05
56,data_100-0.02-85360.in,code1,-1,1.000000e+02
57,data_100-0.02-85360.in,code2,-1,1.000000e+02
58,data_30-0.62-45455.in,code1,-1,1.000000e+02
59,data_30-0.62-45455.in,code2,-1,1.000000e+02
60,data_10-0.62-22170.in,code1,6,5.500000e-05
61,data_10-0.62-22170.in,code2,6,3.350000e-04
62,data_30-0.02-84888.in,code1,3,3.340000e-04
63,data_30-0.02-84888.in,code2,3,1.378730e-01
64,data_90-0.34-14308.in,code1,-1,1.000000e+02
65,data_90-0.34-14308.in,code2,-1,1.000000e+02
66,data_80-0.62-30592.in,code1,-1,1.000000e+02
67,data_80-0.62-30592.in,code2,-1,1.000000e+02
68,data_50-0.58-22170.in,code1,-1,1.000000e+02
69,data_50-0.58-22170.in,code2,-1,1.000000e+02
70,data_40-0.64-30712.in,code1,-1,1.000000e+02
71,data_40-0.64-30712.in,code2,-1,1.000000e+02
72,data_60-0.58-32552.in,code1,-1,1.000000e+02
73,data_60-0.58-32552.in,code2,-1,1.000000e+02
74,data_30-0.5-82261.in,code1,7,2.747399e+01
75,data_30-0.5-82261.in,code2,7,3.109146e+00
76,data_60-0.02-32552.in,code1,3,1.962447e+00
77,data_60-0.02-32552.in,code2,3,7.189032e+01
78,data_40-0.64-64116.in,code1,-1,1.000000e+02
79,data_40-0.64-64116.in,code2,-1,1.000000e+02
80,data_50-0.5-45455.in,code1,-1,1.000000e+02
81,data_50-0.5-45455.in,code2,-1,1.000000e+02
82,data_100-0.58-25053.in,code1,-1,1.000000e+02
83,data_100-0.58-25053.in,code2,-1,1.000000e+02
84,data_50-0.34-72984.in,code1,-1,1.000000e+02
85,data_50-0.34-72984.in,code2,-1,1.000000e+02
86,data_40-0.62-45455.in,code1,-1,1.000000e+02
87,data_40-0.62-45455.in,code2,-1,1.000000e+02
88,data_60-0.64-26078.in,code1,-1,1.000000e+02
89,data_60-0.64-26078.in,code2,-1,1.000000e+02
90,data_30-0.62-34958.in,code1,-1,1.000000e+02
91,data_30-0.62-34958.in,code2,9,8.215762e+01
92,data_30-0.62-85360.in,code1,-1,1.000000e+02
93,data_30-0.62-85360.in,code2,9,2.177668e+00
94,data_30-0.62-15680.in,code1,8,2.664843e+00
95,data_30-0.62-15680.in,code2,-1,1.000000e+02
96,data_10-0.02-32552.in,code1,2,2.100000e-05
97,data_10-0.02-32552.in,code2,2,6.000000e-06
98,data_20-0.5-35661.in,code1,6,1.016400e-02
99,data_20-0.5-35661.in,code2,6,7.785000e-03
100,data_40-0.5-30230.in,code1,-1,1.000000e+02
101,data_40-0.5-30230.in,code2,-1,1.000000e+02
102,data_10-0.58-22170.in,code1,5,2.200000e-05
103,data_10-0.58-22170.in,code2,5,2.040000e-04
104,data_30-0.02-37303.in,code1,2,5.284000e-03
105,data_30-0.02-37303.in,code2,2,4.510000e-04
106,data_70-0.58-35661.in,code1,-1,1.000000e+02
107,data_70-0.58-35661.in,code2,-1,1.000000e+02
108,data_90-0.62-35031.in,code1,-1,1.000000e+02
109,data_90-0.62-35031.in,code2,-1,1.000000e+02
110,data_70-0.02-37303.in,code1,-1,1.000000e+02
111,data_70-0.02-37303.in,code2,2,2.488000e-01
112,data_70-0.02-32552.in,code1,-1,1.000000e+02
113,data_70-0.02-32552.in,code2,-1,1.000000e+02
114,data_50-0.58-15680.in,code1,-1,1.000000e+02
115,data_50-0.58-15680.in,code2,-1,1.000000e+02
116,data_70-0.58-93196.in,code1,-1,1.000000e+02
117,data_70-0.58-93196.in,code2,-1,1.000000e+02
118,data_40-0.64-93196.in,code1,-1,1.000000e+02
119,data_40-0.64-93196.in,code2,-1,1.000000e+02
120,data_50-0.34-82261.in,code1,-1,1.000000e+02
121,data_50-0.34-82261.in,code2,-1,1.000000e+02
122,data_20-0.64-72984.in,code1,7,5.702400e-02
123,data_20-0.64-72984.in,code2,7,7.876000e-03
124,data_70-0.62-87626.in,code1,-1,1.000000e+02
125,data_70-0.62-87626.in,code2,-1,1.000000e+02
126,data_40-0.58-85360.in,code1,-1,1.000000e+02
127,data_40-0.58-85360.in,code2,-1,1.000000e+02
128,data_60-0.58-26078.in,code1,-1,1.000000e+02
129,data_60-0.58-26078.in,code2,-1,1.000000e+02
130,data_20-0.34-85360.in,code1,5,6.353000e-03
131,data_20-0.34-85360.in,code2,5,5.761000e-03
132,data_20-0.5-11961.in,code1,6,1.730800e-02
133,data_20-0.5-11961.in,code2,6,2.216200e-02
134,data_90-0.34-72984.in,code1,-1,1.000000e+02
135,data_90-0.34-72984.in,code2,-1,1.000000e+02
136,data_100-0.64-45455.in,code1,-1,1.000000e+02
137,data_100-0.64-45455.in,code2,-1,1.000000e+02
138,data_40-0.5-82261.in,code1,-1,1.000000e+02
139,data_40-0.5-82261.in,code2,-1,1.000000e+02
140,data_80-0.62-20644.in,code1,-1,1.000000e+02
141,data_80-0.62-20644.in,code2,-1,1.000000e+02
142,data_80-0.34-73752.in,code1,-1,1.000000e+02
143,data_80-0.34-73752.in,code2,-1,1.000000e+02
144,data_50-0.02-38658.in,code1,2,8.600000e-04
145,data_50-0.02-38658.in,code2,2,4.065000e-03
146,data_40-0.02-72984.in,code1,2,3.690000e-04
147,data_40-0.02-72984.in,code2,2,2.100000e-05
148,data_20-0.34-35031.in,code1,5,6.470000e-04
149,data_20-0.34-35031.in,code2,5,2.106000e-03
150,data_50-0.62-45495.in,code1,-1,1.000000e+02
151,data_50-0.62-45495.in,code2,-1,1.000000e+02
152,data_80-0.5-64116.in,code1,-1,1.000000e+02
153,data_80-0.5-64116.in,code2,-1,1.000000e+02
154,data_20-0.34-30712.in,code1,4,2.300000e-04
155,data_20-0.34-30712.in,code2,4,1.990000e-04
156,data_90-0.62-38658.in,code1,-1,1.000000e+02
157,data_90-0.62-38658.in,code2,-1,1.000000e+02
158,data_30-0.34-82261.in,code1,5,1.101500e-02
159,data_30-0.34-82261.in,code2,5,1.454300e-02
160,data_90-0.64-15680.in,code1,-1,1.000000e+02
161,data_90-0.64-15680.in,code2,-1,1.000000e+02
162,data_20-0.34-70889.in,code1,4,1.310000e-04
163,data_20-0.34-70889.in,code2,4,5.510000e-04
164,data_10-0.64-22170.in,code1,6,2.360000e-04
165,data_10-0.64-22170.in,code2,6,1.270000e-04
166,data_10-0.34-26078.in,code1,3,1.400000e-05
167,data_10-0.34-26078.in,code2,3,1.100000e-05
168,data_60-0.62-93196.in,code1,-1,1.000000e+02
169,data_60-0.62-93196.in,code2,-1,1.000000e+02
170,data_20-0.58-11974.in,code1,7,1.490600e-02
171,data_20-0.58-11974.in,code2,7,8.785600e-02
172,data_10-0.5-22170.in,code1,4,1.700000e-05
173,data_10-0.5-22170.in,code2,4,4.800000e-05
174,data_20-0.5-20644.in,code1,5,8.982000e-03
175,data_20-0.5-20644.in,code2,5,5.750000e-04
176,data_70-0.62-35661.in,code1,-1,1.000000e+02
177,data_70-0.62-35661.in,code2,-1,1.000000e+02
178,data_50-0.58-73752.in,code1,-1,1.000000e+02
179,data_50-0.58-73752.in,code2,-1,1.000000e+02
180,data_80-0.64-84888.in,code1,-1,1.000000e+02
181,data_80-0.64-84888.in,code2,-1,1.000000e+02
182,data_90-0.34-30230.in,code1,-1,1.000000e+02
183,data_90-0.34-30230.in,code2,-1,1.000000e+02
184,data_60-0.64-93196.in,code1,-1,1.000000e+02
185,data_60-0.64-93196.in,code2,-1,1.000000e+02
186,data_40-0.62-26078.in,code1,-1,1.000000e+02
187,data_40-0.62-26078.in,code2,-1,1.000000e+02
188,data_100-0.64-87626.in,code1,-1,1.000000e+02
189,data_100-0.64-87626.in,code2,-1,1.000000e+02
190,data_40-0.02-64116.in,code1,2,2.870000e-04
191,data_40-0.02-64116.in,code2,2,1.200000e-05
192,data_30-0.58-25053.in,code1,8,7.158813e+00
