group1,group2,meandiff,p-adj,lower,upper,reject
code1:100:0.02,code1:100:0.34,23.9972,0.001,5.5993,42.395,True
code1:100:0.02,code1:100:0.5,23.9972,0.001,5.5993,42.395,True
code1:100:0.02,code1:100:0.58,23.9972,0.001,5.5993,42.395,True
code1:100:0.02,code1:100:0.62,23.9972,0.001,5.5993,42.395,True
code1:100:0.02,code1:100:0.64,23.9972,0.001,5.5993,42.395,True
code1:100:0.02,code1:10:0.02,-76.0028,0.001,-94.4007,-57.605,True
code1:100:0.02,code1:10:0.34,-76.0028,0.001,-94.4007,-57.6049,True
code1:100:0.02,code1:10:0.5,-76.0028,0.001,-94.4006,-57.6049,True
code1:100:0.02,code1:10:0.58,-76.0028,0.001,-94.4006,-57.6049,True
code1:100:0.02,code1:10:0.62,-76.0028,0.001,-94.4006,-57.6049,True
code1:100:0.02,code1:10:0.64,-76.0027,0.001,-94.4006,-57.6049,True
code1:100:0.02,code1:20:0.02,-76.0023,0.001,-94.4002,-57.6044,True
code1:100:0.02,code1:20:0.34,-75.9995,0.001,-94.3974,-57.6017,True
code1:100:0.02,code1:20:0.5,-75.9358,0.001,-94.3337,-57.538,True
code1:100:0.02,code1:20:0.58,-75.9476,0.001,-94.3455,-57.5498,True
code1:100:0.02,code1:20:0.62,-75.7971,0.001,-94.1949,-57.3992,True
code1:100:0.02,code1:20:0.64,-75.9196,0.001,-94.3174,-57.5217,True
code1:100:0.02,code1:30:0.02,-75.9786,0.001,-94.3764,-57.5807,True
code1:100:0.02,code1:30:0.34,-75.3285,0.001,-93.7264,-56.9307,True
code1:100:0.02,code1:30:0.5,-52.7543,0.001,-71.1522,-34.3565,True
code1:100:0.02,code1:30:0.58,-28.5093,0.001,-46.9071,-10.1114,True
code1:100:0.02,code1:30:0.62,-14.3265,0.6577,-32.7244,4.0713,False
code1:100:0.02,code1:30:0.64,-5.8688,0.9,-24.2667,12.529,False
code1:100:0.02,code1:40:0.02,-75.8939,0.001,-94.2918,-57.496,True
code1:100:0.02,code1:40:0.34,-28.6322,0.001,-47.03,-10.2343,True
code1:100:0.02,code1:40:0.5,20.459,0.0062,2.0611,38.8569,True
