group1,group2,meandiff,p-adj,lower,upper,reject
code1:100:0.02,code2:100:0.02,6.0586,0.9,-12.3392,24.4565,False
code1:100:0.34,code2:100:0.34,0.0,0.9,-18.3979,18.3979,False
code1:100:0.5,code2:100:0.5,0.0,0.9,-18.3979,18.3979,False
code1:100:0.58,code2:100:0.58,0.0,0.9,-18.3979,18.3979,False
code1:100:0.62,code2:100:0.62,0.0,0.9,-18.3979,18.3979,False
code1:100:0.64,code2:100:0.64,0.0,0.9,-18.3979,18.3979,False
code1:10:0.02,code2:10:0.02,-0.0,0.9,-18.3979,18.3978,False
code1:10:0.34,code2:10:0.34,-0.0,0.9,-18.3979,18.3979,False
code1:10:0.5,code2:10:0.5,-0.0,0.9,-18.3979,18.3979,False
code1:10:0.58,code2:10:0.58,-0.0,0.9,-18.3979,18.3979,False
code1:10:0.62,code2:10:0.62,0.0,0.9,-18.3978,18.3979,False
code1:10:0.64,code2:10:0.64,-0.0,0.9,-18.3979,18.3978,False
code1:20:0.02,code2:20:0.02,-0.0004,0.9,-18.3983,18.3975,False
code1:20:0.34,code2:20:0.34,-0.0011,0.9,-18.399,18.3967,False
code1:20:0.5,code2:20:0.5,-0.0464,0.9,-18.4442,18.3515,False
code1:20:0.58,code2:20:0.58,0.0197,0.9,-18.3781,18.4176,False
code1:20:0.62,code2:20:0.62,0.0419,0.9,-18.3559,18.4398,False
code1:20:0.64,code2:20:0.64,0.2009,0.9,-18.197,18.5988,False
code1:30:0.02,code2:30:0.02,-0.0175,0.9,-18.4153,18.3804,False
code1:30:0.34,code2:30:0.34,-0.115,0.9,-18.5129,18.2828,False
code1:30:0.5,code2:30:0.5,-2.1336,0.9,-20.5315,16.2642,False
code1:30:0.58,code2:30:0.58,-15.4717,0.4331,-33.8696,2.9261,False
code1:30:0.62,code2:30:0.62,2.363,0.9,-16.0349,20.7609,False
code1:30:0.64,code2:30:0.64,10.9339,0.9,-7.464,29.3318,False
code1:40:0.02,code2:40:0.02,0.0049,0.9,-18.393,18.4027,False
code1:40:0.34,code2:40:0.34,11.0534,0.9,-7.3445,29.4512,False
code1:40:0.5,code2:40:0.5,3.5382,0.9,-14.8597,21.936,False
code1:40:0.58,code2:40:0.58,0.0,0.9,-18.3979,18.3979,False
code1:40:0.62,code2:40:0.62,0.0,0.9,-18.3979,18.3979,False
code1:40:0.64,code2:40:0.64,0.0,0.9,-18.3979,18.3979,False
code1:50:0.02,code2:50:0.02,3.831,0.9,-14.5669,22.2288,False
code1:50:0.34,code2:50:0.34,0.0,0.9,-18.3979,18.3979,False
code1:50:0.5,code2:50:0.5,0.0,0.9,-18.3979,18.3979,False
code1:50:0.58,code2:50:0.58,0.0,0.9,-18.3979,18.3979,False
code1:50:0.62,code2:50:0.62,0.0,0.9,-18.3979,18.3979,False
code1:50:0.64,code2:50:0.64,0.0,0.9,-18.3979,18.3979,False
code1:60:0.02,code2:60:0.02,10.2681,0.9,-8.1298,28.666,False
code1:60:0.34,code2:60:0.34,0.0,0.9,-18.3979,18.3979,False
code1:60:0.5,code2:60:0.5,0.0,0.9,-18.3979,18.3979,False
code1:60:0.58,code2:60:0.58,0.0,0.9,-18.3979,18.3979,False
code1:60:0.62,code2:60:0.62,0.0,0.9,-18.3979,18.3979,False
code1:60:0.64,code2:60:0.64,0.0,0.9,-18.3979,18.3979,False
code1:70:0.02,code2:70:0.02,-14.7258,0.5796,-33.1236,3.6721,False
code1:70:0.34,code2:70:0.34,0.0,0.9,-18.3979,18.3979,False
code1:70:0.5,code2:70:0.5,0.0,0.9,-18.3979,18.3979,False
code1:70:0.58,code2:70:0.58,0.0,0.9,-18.3979,18.3979,False
code1:70:0.62,code2:70:0.62,0.0,0.9,-18.3979,18.3979,False
code1:70:0.64,code2:70:0.64,0.0,0.9,-18.3979,18.3979,False
code1:80:0.02,code2:80:0.02,1.5844,0.9,-16.8135,19.9822,False
code1:80:0.34,code2:80:0.34,0.0,0.9,-18.3979,18.3979,False
code1:80:0.5,code2:80:0.5,0.0,0.9,-18.3979,18.3979,False
code1:80:0.58,code2:80:0.58,0.0,0.9,-18.3979,18.3979,False
code1:80:0.62,code2:80:0.62,0.0,0.9,-18.3979,18.3979,False
code1:80:0.64,code2:80:0.64,0.0,0.9,-18.3979,18.3979,False
code1:90:0.02,code2:90:0.02,3.9014,0.9,-14.4965,22.2993,False
code1:90:0.34,code2:90:0.34,0.0,0.9,-18.3979,18.3979,False
code1:90:0.5,code2:90:0.5,0.0,0.9,-18.3979,18.3979,False
code1:90:0.58,code2:90:0.58,0.0,0.9,-18.3979,18.3979,False
code1:90:0.62,code2:90:0.62,0.0,0.9,-18.3979,18.3979,False
code1:90:0.64,code2:90:0.64,0.0,0.9,-18.3979,18.3979,False
