group1,group2,meandiff,p-adj,lower,upper,reject
code1:100:0.02,code2:100:0.02,-9.702,0.9,-32.8936,13.4895,False
code1:10:0.02,code2:10:0.02,-0.0,0.9,-11.3615,11.3615,False
code1:10:0.34,code2:10:0.34,-0.0,0.9,-11.3615,11.3615,False
code1:10:0.5,code2:10:0.5,-0.0,0.9,-11.3615,11.3615,False
code1:10:0.58,code2:10:0.58,-0.0,0.9,-11.3615,11.3615,False
code1:10:0.62,code2:10:0.62,0.0,0.9,-11.3615,11.3615,False
code1:10:0.64,code2:10:0.64,-0.0,0.9,-11.3615,11.3615,False
code1:20:0.02,code2:20:0.02,-0.0004,0.9,-11.3619,11.3611,False
code1:20:0.34,code2:20:0.34,-0.0011,0.9,-11.3626,11.3604,False
code1:20:0.5,code2:20:0.5,-0.0464,0.9,-11.4079,11.3151,False
code1:20:0.58,code2:20:0.58,0.0197,0.9,-11.3418,11.3812,False
code1:20:0.62,code2:20:0.62,0.0419,0.9,-11.3196,11.4035,False
code1:20:0.64,code2:20:0.64,0.2009,0.9,-11.1606,11.5624,False
code1:30:0.02,code2:30:0.02,-0.0175,0.9,-11.379,11.344,False
code1:30:0.34,code2:30:0.34,-0.115,0.9,-11.4766,11.2465,False
code1:30:0.5,code2:30:0.5,-2.4619,0.9,-14.6661,9.7423,False
code1:30:0.58,code2:30:0.58,-9.9635,0.5875,-23.1119,3.1849,False
code1:30:0.62,code2:30:0.62,5.0636,0.9,-11.568,21.6951,False
code1:30:0.64,code2:30:0.64,12.1252,0.8761,-6.3834,30.6339,False
code1:40:0.02,code2:40:0.02,0.0049,0.9,-11.3566,11.3664,False
code1:40:0.34,code2:40:0.34,14.3462,0.0831,-0.5356,29.228,False
code1:50:0.02,code2:50:0.02,3.9631,0.9,-7.5927,15.5188,False
code1:60:0.02,code2:60:0.02,7.5686,0.8927,-4.0899,19.227,False
code1:70:0.02,code2:70:0.02,-4.319,0.9,-18.6752,10.0372,False
code1:80:0.02,code2:80:0.02,-3.8861,0.9,-24.104,16.3319,False
code1:90:0.02,code2:90:0.02,-17.7476,0.2156,-37.8321,2.3369,False
