group1,group2,meandiff,p-adj,lower,upper,reject
code1:100:0.02,code2:100:0.02,0.0,0.9,-61.4513,61.4513,False
code1:100:0.028284271247461905,code2:100:0.028284271247461905,0.0,0.9,-61.4513,61.4513,False
code1:100:0.04000000000000001,code2:100:0.04000000000000001,0.0,0.9,-61.4513,61.4513,False
code1:100:0.05656854249492382,code2:100:0.05656854249492382,0.0,0.9,-61.4513,61.4513,False
code1:100:0.08000000000000002,code2:100:0.08000000000000002,0.0,0.9,-61.4513,61.4513,False
code1:100:0.11313708498984765,code2:100:0.11313708498984765,0.0,0.9,-61.4513,61.4513,False
code1:100:0.1600000000000001,code2:100:0.1600000000000001,0.0,0.9,-61.4513,61.4513,False
code1:100:0.22627416997969532,code2:100:0.22627416997969532,0.0,0.9,-61.4513,61.4513,False
code1:100:0.3200000000000002,code2:100:0.3200000000000002,0.0,0.9,-61.4513,61.4513,False
code1:100:0.45254833995939064,code2:100:0.45254833995939064,0.0,0.9,-61.4513,61.4513,False
code1:100:0.6400000000000005,code2:100:0.6400000000000005,0.0,0.9,-61.4513,61.4513,False
code1:12:0.02,code2:12:0.02,-0.0,0.9,-61.4514,61.4513,False
code1:12:0.028284271247461905,code2:12:0.028284271247461905,-0.0,0.9,-61.4514,61.4513,False
code1:12:0.04000000000000001,code2:12:0.04000000000000001,-0.0,0.9,-61.4514,61.4513,False
code1:12:0.05656854249492382,code2:12:0.05656854249492382,-0.0,0.9,-61.4514,61.4513,False
code1:12:0.08000000000000002,code2:12:0.08000000000000002,-0.0,0.9,-61.4514,61.4513,False
code1:12:0.11313708498984765,code2:12:0.11313708498984765,-0.0,0.9,-61.4514,61.4513,False
code1:12:0.1600000000000001,code2:12:0.1600000000000001,-0.0,0.9,-61.4514,61.4513,False
code1:12:0.22627416997969532,code2:12:0.22627416997969532,-0.0,0.9,-61.4514,61.4513,False
code1:12:0.3200000000000002,code2:12:0.3200000000000002,-0.0,0.9,-61.4514,61.4513,False
code1:12:0.45254833995939064,code2:12:0.45254833995939064,-0.0,0.9,-61.4513,61.4513,False
code1:12:0.6400000000000005,code2:12:0.6400000000000005,-0.0,0.9,-61.4513,61.4513,False
code1:16:0.02,code2:16:0.02,-0.0,0.9,-61.4514,61.4513,False
code1:16:0.028284271247461905,code2:16:0.028284271247461905,-0.0,0.9,-61.4514,61.4513,False
code1:16:0.04000000000000001,code2:16:0.04000000000000001,-0.0,0.9,-61.4514,61.4513,False
code1:16:0.05656854249492382,code2:16:0.05656854249492382,-0.0,0.9,-61.4514,61.4513,False
code1:16:0.08000000000000002,code2:16:0.08000000000000002,-0.0,0.9,-61.4514,61.4513,False
code1:16:0.11313708498984765,code2:16:0.11313708498984765,-0.0,0.9,-61.4514,61.4513,False
code1:16:0.1600000000000001,code2:16:0.1600000000000001,-0.0,0.9,-61.4514,61.4513,False
code1:16:0.22627416997969532,code2:16:0.22627416997969532,-0.0,0.9,-61.4514,61.4513,False
code1:16:0.3200000000000002,code2:16:0.3200000000000002,-0.0,0.9,-61.4514,61.4513,False
code1:16:0.45254833995939064,code2:16:0.45254833995939064,0.0001,0.9,-61.4512,61.4514,False
